case_id,split,case_path,answer_unique_YN,all_cues_supported_YN,annotation_consistent_YN,difficulty_reasonable_YN,language_quality_OK_YN,notes
easy_001,Easy,dataset/Easy_Cases/easy_001_The_Cold_Orchid,,,,,,
easy_002,Easy,dataset/Easy_Cases/easy_002_The_Glass_Badge,,,,,,
easy_003,Easy,dataset/Easy_Cases/easy_003_The_Brass_Crate,,,,,,
easy_004,Easy,dataset/Easy_Cases/easy_004_The_Quiet_Filter,,,,,,
easy_005,Easy,dataset/Easy_Cases/easy_005_The_Silver_Tube,,,,,,
easy_006,Easy,dataset/Easy_Cases/easy_006_The_Borrowed_Badge,,,,,,
easy_007,Easy,dataset/Easy_Cases/easy_007_The_Frosted_Orchid,,,,,,
easy_008,Easy,dataset/Easy_Cases/easy_008_The_Glass_Score,,,,,,
easy_009,Easy,dataset/Easy_Cases/easy_009_The_Cold_Frame,,,,,,
easy_010,Easy,dataset/Easy_Cases/easy_010_The_False_Card,,,,,,
easy_011,Easy,dataset/Easy_Cases/easy_011_The_Blue_Counter,,,,,,
easy_012,Easy,dataset/Easy_Cases/easy_012_The_Dusty_Brooch,,,,,,
easy_013,Easy,dataset/Easy_Cases/easy_013_The_Early_Auction,,,,,,
easy_014,Easy,dataset/Easy_Cases/easy_014_The_Borrowed_Reel,,,,,,
easy_015,Easy,dataset/Easy_Cases/easy_015_The_Hidden_Diary,,,,,,
easy_016,Easy,dataset/Easy_Cases/easy_016_The_Late_Crate,,,,,,
easy_017,Easy,dataset/Easy_Cases/easy_017_The_Marked_Vial,,,,,,
easy_018,Easy,dataset/Easy_Cases/easy_018_The_Missing_Cabinet,,,,,,
easy_019,Easy,dataset/Easy_Cases/easy_019_The_Clockwork_Crate,,,,,,
easy_020,Easy,dataset/Easy_Cases/easy_020_The_Frosted_Bell,,,,,,
medium_001,Medium,dataset/Medium_Cases/medium_001_The_Missing_Cabinet,,,,,,
medium_002,Medium,dataset/Medium_Cases/medium_002_The_Paper_Case,,,,,,
medium_003,Medium,dataset/Medium_Cases/medium_003_The_Silver_Bell,,,,,,
medium_004,Medium,dataset/Medium_Cases/medium_004_The_Dusty_Envelope,,,,,,
medium_005,Medium,dataset/Medium_Cases/medium_005_The_Silent_Crate,,,,,,
medium_006,Medium,dataset/Medium_Cases/medium_006_The_Vanishing_Frame,,,,,,
medium_007,Medium,dataset/Medium_Cases/medium_007_The_False_Packet,,,,,,
medium_008,Medium,dataset/Medium_Cases/medium_008_The_Cold_Brooch,,,,,,
medium_009,Medium,dataset/Medium_Cases/medium_009_The_Quiet_Letter,,,,,,
medium_010,Medium,dataset/Medium_Cases/medium_010_The_Glass_Map,,,,,,
medium_011,Medium,dataset/Medium_Cases/medium_011_The_Midnight_Badge,,,,,,
medium_012,Medium,dataset/Medium_Cases/medium_012_The_Late_Brooch,,,,,,
medium_013,Medium,dataset/Medium_Cases/medium_013_The_Hollow_Packet,,,,,,
medium_014,Medium,dataset/Medium_Cases/medium_014_The_Cold_Envelope,,,,,,
medium_015,Medium,dataset/Medium_Cases/medium_015_The_False_Key,,,,,,
medium_016,Medium,dataset/Medium_Cases/medium_016_The_Early_Tube,,,,,,
medium_017,Medium,dataset/Medium_Cases/medium_017_The_Walled_Compass,,,,,,
medium_018,Medium,dataset/Medium_Cases/medium_018_The_Silent_Prototype,,,,,,
medium_019,Medium,dataset/Medium_Cases/medium_019_The_Clockwork_Diary,,,,,,
medium_020,Medium,dataset/Medium_Cases/medium_020_The_Late_Score,,,,,,
complex_001,Complex,dataset/Complex_Cases/complex_001_The_Cold_Map,,,,,,
complex_002,Complex,dataset/Complex_Cases/complex_002_The_False_Envelope,,,,,,
complex_003,Complex,dataset/Complex_Cases/complex_003_The_Early_Frame,,,,,,
complex_004,Complex,dataset/Complex_Cases/complex_004_The_Walled_Auction,,,,,,
complex_005,Complex,dataset/Complex_Cases/complex_005_The_Silent_Packet,,,,,,
complex_006,Complex,dataset/Complex_Cases/complex_006_The_Clockwork_Tube,,,,,,
complex_007,Complex,dataset/Complex_Cases/complex_007_The_Late_Filter,,,,,,
complex_008,Complex,dataset/Complex_Cases/complex_008_The_Dusty_Badge,,,,,,
complex_009,Complex,dataset/Complex_Cases/complex_009_The_Missing_Prototype,,,,,,
complex_010,Complex,dataset/Complex_Cases/complex_010_The_Crimson_Ledger,,,,,,
complex_011,Complex,dataset/Complex_Cases/complex_011_The_Final_Drawer,,,,,,
complex_012,Complex,dataset/Complex_Cases/complex_012_The_Silver_Prototype,,,,,,
complex_013,Complex,dataset/Complex_Cases/complex_013_The_Hollow_Score,,,,,,
complex_014,Complex,dataset/Complex_Cases/complex_014_The_Second_Record,,,,,,
complex_015,Complex,dataset/Complex_Cases/complex_015_The_Midnight_Diary,,,,,,
complex_016,Complex,dataset/Complex_Cases/complex_016_The_Secret_Ledger,,,,,,
complex_017,Complex,dataset/Complex_Cases/complex_017_The_Silent_Record,,,,,,
complex_018,Complex,dataset/Complex_Cases/complex_018_The_Hidden_Map,,,,,,
complex_019,Complex,dataset/Complex_Cases/complex_019_The_Midnight_Compass,,,,,,
complex_020,Complex,dataset/Complex_Cases/complex_020_The_Final_Signal,,,,,,
