case_id,split,title,domain,crime_type,culprit,culprit_role,num_suspects,num_cues,num_misleading_trails,word_count,case_path
easy_001,Easy,The Cold Orchid,train station,removal,Ivy Ward,station clerk,3,9,2,874,dataset/Easy_Cases/easy_001_The_Cold_Orchid
easy_002,Easy,The Glass Badge,university observatory,removal,June Fenn,telescope operator,3,9,2,853,dataset/Easy_Cases/easy_002_The_Glass_Badge
easy_003,Easy,The Brass Crate,clock repair shop,removal,Lucian Hart,apprentice watchmaker,4,7,1,874,dataset/Easy_Cases/easy_003_The_Brass_Crate
easy_004,Easy,The Quiet Filter,city hall records office,removal,Adrian Page,records supervisor,3,9,2,856,dataset/Easy_Cases/easy_004_The_Quiet_Filter
easy_005,Easy,The Silver Tube,planetarium,removal,Reed Fenn,projection operator,4,9,2,870,dataset/Easy_Cases/easy_005_The_Silver_Tube
easy_006,Easy,The Borrowed Badge,botany greenhouse,removal,Mae Lark,greenhouse assistant,3,8,2,853,dataset/Easy_Cases/easy_006_The_Borrowed_Badge
easy_007,Easy,The Frosted Orchid,mountain lodge,removal,Noah Pierce,ski instructor,4,7,2,859,dataset/Easy_Cases/easy_007_The_Frosted_Orchid
easy_008,Easy,The Glass Score,chess club,tamper,June Gray,tournament director,3,8,2,875,dataset/Easy_Cases/easy_008_The_Glass_Score
easy_009,Easy,The Cold Frame,newspaper archive,removal,Clara Finch,night editor,4,9,1,869,dataset/Easy_Cases/easy_009_The_Cold_Frame
easy_010,Easy,The False Card,public library rare room,removal,Theo Pierce,rare-room librarian,3,9,1,858,dataset/Easy_Cases/easy_010_The_False_Card
easy_011,Easy,The Blue Counter,campus newspaper office,removal,Ivy Reed,managing editor,3,7,2,854,dataset/Easy_Cases/easy_011_The_Blue_Counter
easy_012,Easy,The Dusty Brooch,university archive,removal,Elise Kline,archive coordinator,3,9,1,870,dataset/Easy_Cases/easy_012_The_Dusty_Brooch
easy_013,Easy,The Early Auction,lighthouse museum,removal,Amara Reed,museum caretaker,3,8,2,866,dataset/Easy_Cases/easy_013_The_Early_Auction
easy_014,Easy,The Borrowed Reel,vineyard tasting room,removal,Anya Rowe,cellar manager,3,7,1,852,dataset/Easy_Cases/easy_014_The_Borrowed_Reel
easy_015,Easy,The Hidden Diary,hotel laundry,removal,Noah Hollis,laundry supervisor,4,7,2,866,dataset/Easy_Cases/easy_015_The_Hidden_Diary
easy_016,Easy,The Late Crate,law school moot court,tamper,Bennett Hollis,moot court coordinator,4,7,2,856,dataset/Easy_Cases/easy_016_The_Late_Crate
easy_017,Easy,The Marked Vial,university radio station,removal,Nora Dove,audio producer,4,9,1,852,dataset/Easy_Cases/easy_017_The_Marked_Vial
easy_018,Easy,The Missing Cabinet,farmers market office,removal,Theo Frost,market treasurer,4,8,2,867,dataset/Easy_Cases/easy_018_The_Missing_Cabinet
easy_019,Easy,The Clockwork Crate,robotics laboratory,removal,Soren Ward,calibration lead,4,9,1,866,dataset/Easy_Cases/easy_019_The_Clockwork_Crate
easy_020,Easy,The Frosted Bell,city aquarium,switch,Nico Hale,aquarist,3,9,2,857,dataset/Easy_Cases/easy_020_The_Frosted_Bell
easy_021,Easy,The Final Envelope,ceramic studio,removal,Arlo Pike,senior potter,4,8,1,850,dataset/Easy_Cases/easy_021_The_Final_Envelope
easy_022,Easy,The Silver Compass,science fair,switch,Rhea Reed,lab monitor,4,9,2,868,dataset/Easy_Cases/easy_022_The_Silver_Compass
easy_023,Easy,The Vanishing Vial,marine research pier,switch,Mabel Locke,sample technician,4,8,1,859,dataset/Easy_Cases/easy_023_The_Vanishing_Vial
easy_024,Easy,The Dusty Envelope,historical society attic,removal,Mabel Marsh,inventory chair,3,7,2,876,dataset/Easy_Cases/easy_024_The_Dusty_Envelope
easy_025,Easy,The Narrow Score,private art gallery,switch,Helena Rook,lighting technician,3,8,1,879,dataset/Easy_Cases/easy_025_The_Narrow_Score
easy_026,Easy,The Silver Map,bakery kitchen,removal,Carmen Ward,night baker,4,7,1,851,dataset/Easy_Cases/easy_026_The_Silver_Map
easy_027,Easy,The Missing Case,music conservatory,removal,Mabel Rook,accompanist,4,9,2,859,dataset/Easy_Cases/easy_027_The_Missing_Case
easy_028,Easy,The Paper Prototype,botanical seed bank,removal,Iris Frost,seed curator,4,9,1,850,dataset/Easy_Cases/easy_028_The_Paper_Prototype
easy_029,Easy,The Silver Auction,hospital charity office,removal,Nora Bell,fundraising coordinator,3,9,1,851,dataset/Easy_Cases/easy_029_The_Silver_Auction
